issue_type,severity,url,title,source_name,reason,suggested_fix,status
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/brightfield-illumination-with-spot-and-bar-lights-for-machine-vision/,Brightfield spot and bar light illumination,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/brightfield-illumination-with-ring-lights-for-machine-vision/,Brightfield ring light illumination,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/in-line-telecentric-illumination-for-machine-vision/,In-line telecentric illumination,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/darkfield-illumination-with-ring-lights-for-machine-vision/,Darkfield ring light illumination,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/backlight-illumination-for-machine-vision/,Backlight illumination for machine vision,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/brightfield-illumination-with-dome-lights-for-machine-vision/,Brightfield dome illumination,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/choose-the-correct-illumination/,Common illumination types and polarizers,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/advantages-of-telecentricity/,Advantages of telecentricity,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
short_content,medium,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/resolution/,Imaging system resolution basics,Edmund Optics,Extracted content is shorter than 500 characters.,Review extraction quality.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/,,Edmund Optics,module 'requests' has no attribute 'get',Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/,,Edmund Optics,module 'requests' has no attribute 'get',Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/,,Edmund Optics,module 'requests' has no attribute 'get',Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/capabilities/imaging-optics/resources,,Edmund Optics,module 'requests' has no attribute 'get',Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/capabilities/imaging-optics/resources,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/capabilities/imaging-optics/resources,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
crawl_error,medium,https://www.edmundoptics.com/capabilities/imaging-optics/resources,,Edmund Optics,<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。>,Retry later with crawl-delay respected.,open
